well,protocol,A600,A700,mhYFP,mRaspberry,date,bacterium,strain,plasmid,promoter,code,biorep,antibiotic,mhYFP_by_A600,mRas_by_A600
A1,PRT14_6,0.8116666666666666,0.71175,544.25,87.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322,None,pTORC1,1,Ampicillin,670.5338809034907,108.0082135523615
A2,PRT14_6,0.8006666666666666,0.70775,527.25,95.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322,None,pTORC1,2,Ampicillin,658.5137385512073,119.48376353039144
A3,PRT14_6,0.8076666666666666,0.70875,537.25,98.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322,None,pTORC1,3,Ampicillin,665.1877837391663,122.16260833677269
A4,PRT14_6,0.7886666666666666,0.69275,492.25,102.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322,None,pTORC1,4,Ampicillin,624.1546914623838,130.1775147928995
A5,PRT14_6,0.8166666666666667,0.71875,9833.25,101.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,1,Ampicillin,12040.714285714286,124.48979591836745
A6,PRT14_6,0.8096666666666666,0.71075,9550.25,74.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,2,Ampicillin,11795.28612597777,92.21902017291076
A7,PRT14_6,0.81466666666666665,0.71975,12783.25,109.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,3,Ampicillin,15691.387070376433,134.6153846153847
A8,PRT14_6,0.7846666666666666,0.68875,10670.25,105.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,4,Ampicillin,13598.449447748513,134.66440101954132
B1,PRT14_6,0.8036666666666666,0.69975,566.25,4909.666666666667,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,1,Ampicillin,704.5831605143094,6109.0833678971385
B2,PRT14_6,0.8076666666666666,0.70275,552.25,5093.666666666667,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,2,Ampicillin,683.759801898473,6306.644655385886
B3,PRT14_6,0.7966666666666666,0.69175,573.25,5104.666666666667,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,3,Ampicillin,719.560669456067,6407.531380753138
B4,PRT14_6,0.7926666666666666,0.68775,500.25,4984.666666666667,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,4,Ampicillin,631.0975609756098,6288.477712363331
B9,PRT14_6,0.6076666666666666,0.5307499999999999,11456.25,72.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,1,Ampicillin,18852.85244103127,119.58310477235341
