Salmonella_Full_Process,Salmonella_Min_Process,Salmonella_Full_WT,Salmonella_Full_DTA,Salmonella_Full_DTA/IL,Salmonella_Min_WT,Salmonella_Min_DTA,Salmonella_Min_DTA/IL
0.0,0.0,20025.662237072203,64482.74071717702,50023.7237641853,18566.880914763493,43757.716761029485,38573.24646750763
1.0,1.0,20025.662237072203,64482.74071717702,64482.74071717702,18566.880914763493,43757.716761029485,43757.716761029485
2.0,2.0,20025.662237072203,64482.74071717702,50023.7237641853,18566.880914763493,43757.716761029485,38573.24646750763
3.0,3.0,20025.662237072203,64482.74071717702,64482.74071717702,18566.880914763493,43757.716761029485,43757.716761029485
4.0,4.0,20024.529706552024,64482.62934667082,50023.7237641853,18565.94765533166,43757.76243257584,38573.24646750763
5.0,5.0,20024.529706552024,64482.62934667082,64482.62934667082,18565.94765533166,43757.76243257584,43757.76243257584
6.0,6.0,20024.529706552024,64482.62934667082,50023.7237641853,18565.94765533166,43757.76243257584,38573.24646750763
7.0,7.0,20024.529706552024,64482.62934667082,64482.62934667082,18565.94765533166,43757.76243257584,43757.76243257584
8.0,8.0,20024.440858485792,64375.14650331108,50023.7237641853,18563.776459310975,43768.46701816864,38573.24646750763
9.0,9.0,20024.440858485792,64375.14650331108,64375.14650331108,18563.776459310975,43768.46701816864,43768.46701816864
10.0,10.0,20024.440858485792,64375.14650331108,50023.7237641853,18563.776459310975,43768.46701816864,38573.24646750763
11.0,11.0,20024.440858485792,64375.14650331108,64375.14650331108,18563.776459310975,43768.46701816864,43768.46701816864
12.0,12.0,20025.662237072203,64482.74071717702,50023.7237641853,18566.880914763493,43757.716761029485,38573.24646750763
13.0,13.0,20025.662237072203,64482.74071717702,64482.74071717702,18566.880914763493,43757.716761029485,43757.716761029485
14.0,14.0,20025.662237072203,64482.74071717702,50023.7237641853,18566.880914763493,43757.716761029485,38573.24646750763
15.0,15.0,20025.662237072203,64482.74071717702,64482.74071717702,18566.880914763493,43757.716761029485,43757.716761029485
