Ecoli_Full_Process,Ecoli_Min_Process,Salmonella_Full_Process,Salmonella_Min_Process,Ecoli_Full_WT,Ecoli_Full_DTA/DL,Ecoli_Full_DTA,Ecoli_Min_WT,Ecoli_Min_DTA/DL,Ecoli_Min_DTA,Salmonella_Full_WT,Salmonella_Full_DTA,Salmonella_Full_DTA/IL,Salmonella_Min_WT,Salmonella_Min_DTA,Salmonella_Min_DTA/IL
0.0,0.0,0.0,0.0,25101.381091644696,24618.620578953956,25101.381091644696,19589.74223245329,19221.211192931303,19589.74223245329,6663.535273708686,28476.186592479993,29067.653308308196,5477.610633259235,30896.387871686497,31594.783265274287
1.0,1.0,1.0,1.0,6362.455049079965,6362.455049079965,6362.455049079965,5467.399208159898,5467.399208159898,5467.399208159898,6454.913161281859,6454.913161281859,6454.913161281859,5234.627443642027,5234.627443642027,5234.627443642027
2.0,2.0,2.0,2.0,6362.455049079965,6362.455049079965,6362.455049079965,5467.399208159898,5467.399208159898,5467.399208159898,6454.913161281859,6454.913161281859,6454.913161281859,5234.627443642027,5234.627443642027,5234.627443642027
3.0,3.0,3.0,3.0,6560.726309665755,24618.620578953956,24618.620578953956,5617.008860860324,19221.211192931303,19221.211192931303,6663.535273708686,28476.186592479993,28476.186592479993,5477.610633259235,30896.387871686497,30896.387871686497
4.0,4.0,4.0,4.0,25101.381091644696,24618.601178161432,25101.381091644696,19589.74223245329,19221.196391095196,19589.74223245329,6662.573075886479,28476.162822497932,29067.653308308196,5476.490696909293,30896.359820496724,31594.783265274287
5.0,5.0,5.0,5.0,6362.455049079965,6362.455049079965,6362.455049079965,5467.399208159898,5467.399208159898,5467.399208159898,6454.913161281859,6454.913161281859,6454.913161281859,5234.627443642027,5234.627443642027,5234.627443642027
6.0,6.0,6.0,6.0,6362.455049079965,6362.455049079965,6362.455049079965,5467.399208159898,5467.399208159898,5467.399208159898,6454.913161281859,6454.913161281859,6454.913161281859,5234.627443642027,5234.627443642027,5234.627443642027
7.0,7.0,7.0,7.0,6559.860453910975,24618.601178161432,24618.601178161432,5616.3573376916365,19221.196391095196,19221.196391095196,6662.573075886479,28476.162822497932,28476.162822497932,5476.490696909293,30896.359820496724,30896.359820496724
8.0,8.0,8.0,8.0,25101.381091644696,24608.962275683043,25101.381091644696,19589.74223245329,19213.842739119107,19589.74223245329,6661.497402758456,28464.353324989926,29067.653308308196,5475.236511254579,30882.424030005903,31594.783265274287
9.0,9.0,9.0,9.0,6362.455049079965,6362.455049079965,6362.455049079965,5467.399208159898,5467.399208159898,5467.399208159898,6454.913161281859,6454.913161281859,6454.913161281859,5234.627443642027,5234.627443642027,5234.627443642027
10.0,10.0,10.0,10.0,6362.455049079965,6362.455049079965,6362.455049079965,5467.399208159898,5467.399208159898,5467.399208159898,6454.913161281859,6454.913161281859,6454.913161281859,5234.627443642027,5234.627443642027,5234.627443642027
11.0,11.0,11.0,11.0,6557.494825535436,24608.962275683043,24608.962275683043,5614.53654770785,19213.842739119107,19213.842739119107,6661.497402758456,28464.353324989926,28464.353324989926,5475.236511254579,30882.424030005903,30882.424030005903
12.0,12.0,12.0,12.0,25101.381091644696,24618.620578953956,25101.381091644696,19589.74223245329,19221.211192931303,19589.74223245329,6663.535273708686,28476.186592479993,29067.653308308196,5477.610633259235,30896.387871686497,31594.783265274287
13.0,13.0,13.0,13.0,6362.455049079965,6362.455049079965,6362.455049079965,5467.399208159898,5467.399208159898,5467.399208159898,6454.913161281859,6454.913161281859,6454.913161281859,5234.627443642027,5234.627443642027,5234.627443642027
14.0,14.0,14.0,14.0,6362.455049079965,6362.455049079965,6362.455049079965,5467.399208159898,5467.399208159898,5467.399208159898,6454.913161281859,6454.913161281859,6454.913161281859,5234.627443642027,5234.627443642027,5234.627443642027
15.0,15.0,15.0,15.0,6560.726309665755,24618.620578953956,24618.620578953956,5617.008860860324,19221.211192931303,19221.211192931303,6663.535273708686,28476.186592479993,28476.186592479993,5477.610633259235,30896.387871686497,30896.387871686497
